species,sci,url,license,attribution,file
american goldfinch,Spinus tristis,https://inaturalist-open-data.s3.amazonaws.com/photos/106412084/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american goldfinch\106412084.jpg
eastern copperhead,Agkistrodon contortrix,https://inaturalist-open-data.s3.amazonaws.com/photos/722104981/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\eastern copperhead\722104981.jpg
eastern copperhead,Agkistrodon contortrix,https://inaturalist-open-data.s3.amazonaws.com/photos/306181136/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\eastern copperhead\306181136.jpg
timber rattlesnake,Crotalus horridus,https://inaturalist-open-data.s3.amazonaws.com/photos/553370311/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\timber rattlesnake\553370311.jpg
timber rattlesnake,Crotalus horridus,https://inaturalist-open-data.s3.amazonaws.com/photos/528378696/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\timber rattlesnake\528378696.jpg
western diamond-backed rattlesnake,Crotalus atrox,https://inaturalist-open-data.s3.amazonaws.com/photos/311263596/medium.jpg,cc0,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\western diamond-backed rattlesnake\311263596.jpg
western diamond-backed rattlesnake,Crotalus atrox,https://inaturalist-open-data.s3.amazonaws.com/photos/46986880/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\western diamond-backed rattlesnake\46986880.jpg
american alligator,Alligator mississippiensis,https://inaturalist-open-data.s3.amazonaws.com/photos/43721793/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american alligator\43721793.jpg
american alligator,Alligator mississippiensis,https://inaturalist-open-data.s3.amazonaws.com/photos/287001781/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american alligator\287001781.jpg
common box turtle,Terrapene carolina,https://inaturalist-open-data.s3.amazonaws.com/photos/138239510/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\common box turtle\138239510.jpg
common box turtle,Terrapene carolina,https://inaturalist-open-data.s3.amazonaws.com/photos/96798464/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\common box turtle\96798464.jpg
american bullfrog,Lithobates catesbeianus,https://inaturalist-open-data.s3.amazonaws.com/photos/320356633/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american bullfrog\320356633.jpg
american bullfrog,Lithobates catesbeianus,https://inaturalist-open-data.s3.amazonaws.com/photos/536069124/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american bullfrog\536069124.jpg
american toad,Anaxyrus americanus,https://inaturalist-open-data.s3.amazonaws.com/photos/307262353/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american toad\307262353.jpg
american toad,Anaxyrus americanus,https://inaturalist-open-data.s3.amazonaws.com/photos/325801440/medium.jpeg,cc0,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american toad\325801440.jpg
eastern newt,Notophthalmus viridescens,https://inaturalist-open-data.s3.amazonaws.com/photos/678295520/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\eastern newt\678295520.jpg
eastern newt,Notophthalmus viridescens,https://inaturalist-open-data.s3.amazonaws.com/photos/380705224/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\eastern newt\380705224.jpg
spring peeper,Pseudacris crucifer,https://inaturalist-open-data.s3.amazonaws.com/photos/377193761/medium.jpg,cc-by-sa,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\spring peeper\377193761.jpg
spring peeper,Pseudacris crucifer,https://inaturalist-open-data.s3.amazonaws.com/photos/71398333/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\spring peeper\71398333.jpg
eastern chipmunk,Tamias striatus,https://inaturalist-open-data.s3.amazonaws.com/photos/94158134/medium.jpg,,,photos\eastern chipmunk\94158134.jpg
coyote,Canis latrans,https://inaturalist-open-data.s3.amazonaws.com/photos/102464193/medium.jpeg,,,photos\coyote\102464193.jpg
moose,Alces alces,https://inaturalist-open-data.s3.amazonaws.com/photos/368695438/medium.jpeg,,,photos\moose\368695438.jpg
